Options                          System [s]     User [s]     Real [s]
0.0000001 10                       0.000000     0.000000     0.010000
0.0000001 20                       0.000000     0.000000     0.020000
0.0000001 30                       0.000000     0.000000     0.010000
0.00000001 10                      0.000000     0.000000     0.110000
0.00000001 20                      0.000000     0.000000     0.120000
0.00000001 30                      0.000000     0.000000     0.120000
0.000000001 10                     0.000000     0.000000     1.160000
0.000000001 20                     0.000000     0.000000     1.110000
0.000000001 30                     0.000000     0.000000     1.060000
0.0000000005 10                    0.000000     0.000000     2.250000
0.0000000005 20                    0.000000     0.000000     2.160000
0.0000000005 30                    0.000000     0.000000     2.140000
0.0000000001 10                    0.000000     0.000000    11.570000
0.0000000001 20                    0.000000     0.000000    10.610000
0.0000000001 30                    0.000000     0.000000    10.610000
